
18590000, 35110000
9450000, 9550000
64340000, 65609999
9450000, 9550000
55590000, 58339000
55590000, 58339000
36520000, 38294000
69265000, 76352000
46880000, 55588000
76355000, 78630000
58340000, 59760000
11730000, 12730000
11730000, 12730000
89890000, 97418000
76355000, 78630000
38295000, 44150000
11730000, 12730000
38295000, 44150000
69265000, 76352000
69265000, 76352000
59770000, 64335000
18590000, 35110000
38295000, 44150000
9450000, 9550000
59770000, 64335000
36520000, 38294000
36520000, 38294000
85270000, 87830000
18590000, 35110000
55590000, 58339000
16300000, 16399999
78635000, 85267000
38295000, 44150000
46880000, 55588000
35112000, 36515000
59770000, 64335000
18590000, 35110000
65610000, 69260000
85270000, 87830000
76355000, 78630000
9450000, 9550000
46880000, 55588000
46880000, 55588000
55590000, 58339000
58340000, 59760000
55590000, 58339000
18590000, 35110000
35112000, 36515000
36520000, 38294000
36520000, 38294000
46880000, 55588000
36520000, 38294000
11730000, 12730000
11730000, 12730000
97420000, 99990000
65610000, 69260000
78635000, 85267000
76355000, 78630000
35112000, 36515000
58340000, 59760000
97420000, 99990000
36520000, 38294000
76355000, 78630000
97420000, 99990000
11730000, 12730000
15140000, 18580000
18590000, 35110000
59770000, 64335000
64340000, 65609999
35112000, 36515000
87840000, 89888000
78635000, 85267000
55590000, 58339000
46880000, 55588000
38295000, 44150000
11730000, 12730000
65610000, 69260000
87840000, 89888000
15140000, 18580000
58340000, 59760000
59770000, 64335000
38295000, 44150000
69265000, 76352000
89890000, 97418000
89890000, 97418000
69265000, 76352000
89890000, 97418000
59770000, 64335000
69265000, 76352000
78635000, 85267000
44160000, 46875000
69265000, 76352000
44160000, 46875000
35112000, 36515000
18590000, 35110000
55590000, 58339000
87840000, 89888000
65610000, 69260000
11730000, 12730000
15140000, 18580000
15140000, 18580000
58340000, 59760000
85270000, 87830000
55590000, 58339000
76355000, 78630000
44160000, 46875000
69265000, 76352000
58340000, 59760000
58340000, 59760000
44160000, 46875000
76355000, 78630000
69265000, 76352000
78635000, 85267000
69265000, 76352000
78635000, 85267000
11730000, 12730000
97420000, 99990000
55590000, 58339000
